encoder.first_conv.conv.weight,network.encoder.first_conv.conv.weight
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.10.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block10.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.10.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block10.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.10.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block10.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.10.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block10.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.10.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block10.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.10.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block10.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.10.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block10.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.10.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block10.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.10.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block10.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.10.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block10.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.10.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block10.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.11.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block11.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.11.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block11.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.11.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block11.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.11.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block11.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.11.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block11.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.11.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block11.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.11.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block11.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.11.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block11.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.11.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block11.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.11.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block11.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.11.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block11.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.12.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block12.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.12.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block12.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.12.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block12.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.12.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block12.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.12.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block12.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.12.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block12.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.12.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block12.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.12.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block12.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.12.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block12.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.12.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block12.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.12.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block12.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.12.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block12.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.12.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block12.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.12.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block12.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.12.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block12.mobile_inverted_conv.point_linear.bn.moving_variance
encoder.blocks.13.mobile_inverted_conv.inverted_bottleneck.conv.weight,network.encoder.block13.mobile_inverted_conv.inverted_bottleneck.conv.weight
encoder.blocks.13.mobile_inverted_conv.inverted_bottleneck.bn.weight,network.encoder.block13.mobile_inverted_conv.inverted_bottleneck.bn.gamma
encoder.blocks.13.mobile_inverted_conv.inverted_bottleneck.bn.bias,network.encoder.block13.mobile_inverted_conv.inverted_bottleneck.bn.beta
encoder.blocks.13.mobile_inverted_conv.inverted_bottleneck.bn.running_mean,network.encoder.block13.mobile_inverted_conv.inverted_bottleneck.bn.moving_mean
encoder.blocks.13.mobile_inverted_conv.inverted_bottleneck.bn.running_var,network.encoder.block13.mobile_inverted_conv.inverted_bottleneck.bn.moving_variance
encoder.blocks.13.mobile_inverted_conv.depth_conv.conv.weight,network.encoder.block13.mobile_inverted_conv.depth_conv.conv.weight
encoder.blocks.13.mobile_inverted_conv.depth_conv.bn.weight,network.encoder.block13.mobile_inverted_conv.depth_conv.bn.gamma
encoder.blocks.13.mobile_inverted_conv.depth_conv.bn.bias,network.encoder.block13.mobile_inverted_conv.depth_conv.bn.beta
encoder.blocks.13.mobile_inverted_conv.depth_conv.bn.running_mean,network.encoder.block13.mobile_inverted_conv.depth_conv.bn.moving_mean
encoder.blocks.13.mobile_inverted_conv.depth_conv.bn.running_var,network.encoder.block13.mobile_inverted_conv.depth_conv.bn.moving_variance
encoder.blocks.13.mobile_inverted_conv.point_linear.conv.weight,network.encoder.block13.mobile_inverted_conv.point_linear.conv.weight
encoder.blocks.13.mobile_inverted_conv.point_linear.bn.weight,network.encoder.block13.mobile_inverted_conv.point_linear.bn.gamma
encoder.blocks.13.mobile_inverted_conv.point_linear.bn.bias,network.encoder.block13.mobile_inverted_conv.point_linear.bn.beta
encoder.blocks.13.mobile_inverted_conv.point_linear.bn.running_mean,network.encoder.block13.mobile_inverted_conv.point_linear.bn.moving_mean
encoder.blocks.13.mobile_inverted_conv.point_linear.bn.running_var,network.encoder.block13.mobile_inverted_conv.point_linear.bn.moving_variance
head.aspp.aspp0.conv.weight,network.head.aspp.aspp0.0.weight
head.aspp.aspp0.bn.weight,network.head.aspp.aspp0.1.gamma
head.aspp.aspp0.bn.bias,network.head.aspp.aspp0.1.beta
head.aspp.aspp0.bn.running_mean,network.head.aspp.aspp0.1.moving_mean
head.aspp.aspp0.bn.running_var,network.head.aspp.aspp0.1.moving_variance
head.aspp.aspp1.block.depthwise.weight,network.head.aspp.aspp1.block.depthwise.weight
head.aspp.aspp1.block.bn_depth.weight,network.head.aspp.aspp1.block.bn_depth.gamma
head.aspp.aspp1.block.bn_depth.bias,network.head.aspp.aspp1.block.bn_depth.beta
head.aspp.aspp1.block.bn_depth.running_mean,network.head.aspp.aspp1.block.bn_depth.moving_mean
head.aspp.aspp1.block.bn_depth.running_var,network.head.aspp.aspp1.block.bn_depth.moving_variance
head.aspp.aspp1.block.pointwise.weight,network.head.aspp.aspp1.block.pointwise.weight
head.aspp.aspp1.block.bn_point.weight,network.head.aspp.aspp1.block.bn_point.gamma
head.aspp.aspp1.block.bn_point.bias,network.head.aspp.aspp1.block.bn_point.beta
head.aspp.aspp1.block.bn_point.running_mean,network.head.aspp.aspp1.block.bn_point.moving_mean
head.aspp.aspp1.block.bn_point.running_var,network.head.aspp.aspp1.block.bn_point.moving_variance
head.aspp.aspp2.block.depthwise.weight,network.head.aspp.aspp2.block.depthwise.weight
head.aspp.aspp2.block.bn_depth.weight,network.head.aspp.aspp2.block.bn_depth.gamma
head.aspp.aspp2.block.bn_depth.bias,network.head.aspp.aspp2.block.bn_depth.beta
head.aspp.aspp2.block.bn_depth.running_mean,network.head.aspp.aspp2.block.bn_depth.moving_mean
head.aspp.aspp2.block.bn_depth.running_var,network.head.aspp.aspp2.block.bn_depth.moving_variance
head.aspp.aspp2.block.pointwise.weight,network.head.aspp.aspp2.block.pointwise.weight
head.aspp.aspp2.block.bn_point.weight,network.head.aspp.aspp2.block.bn_point.gamma
head.aspp.aspp2.block.bn_point.bias,network.head.aspp.aspp2.block.bn_point.beta
head.aspp.aspp2.block.bn_point.running_mean,network.head.aspp.aspp2.block.bn_point.moving_mean
head.aspp.aspp2.block.bn_point.running_var,network.head.aspp.aspp2.block.bn_point.moving_variance
head.aspp.aspp3.block.depthwise.weight,network.head.aspp.aspp3.block.depthwise.weight
head.aspp.aspp3.block.bn_depth.weight,network.head.aspp.aspp3.block.bn_depth.gamma
head.aspp.aspp3.block.bn_depth.bias,network.head.aspp.aspp3.block.bn_depth.beta
head.aspp.aspp3.block.bn_depth.running_mean,network.head.aspp.aspp3.block.bn_depth.moving_mean
head.aspp.aspp3.block.bn_depth.running_var,network.head.aspp.aspp3.block.bn_depth.moving_variance
head.aspp.aspp3.block.pointwise.weight,network.head.aspp.aspp3.block.pointwise.weight
head.aspp.aspp3.block.bn_point.weight,network.head.aspp.aspp3.block.bn_point.gamma
head.aspp.aspp3.block.bn_point.bias,network.head.aspp.aspp3.block.bn_point.beta
head.aspp.aspp3.block.bn_point.running_mean,network.head.aspp.aspp3.block.bn_point.moving_mean
head.aspp.aspp3.block.bn_point.running_var,network.head.aspp.aspp3.block.bn_point.moving_variance
head.aspp.image_pooling.conv.weight,network.head.aspp.image_pooling.0.weight
head.aspp.image_pooling.bn.weight,network.head.aspp.image_pooling.1.gamma
head.aspp.image_pooling.bn.bias,network.head.aspp.image_pooling.1.beta
head.aspp.image_pooling.bn.running_mean,network.head.aspp.image_pooling.1.moving_mean
head.aspp.image_pooling.bn.running_var,network.head.aspp.image_pooling.1.moving_variance
head.aspp.conv.weight,network.head.aspp.conv.weight
head.aspp.bn.weight,network.head.aspp.bn.gamma
head.aspp.bn.bias,network.head.aspp.bn.beta
head.aspp.bn.running_mean,network.head.aspp.bn.moving_mean
head.aspp.bn.running_var,network.head.aspp.bn.moving_variance
head.c1_block.conv.weight,network.head.c1_block.conv.weight
head.c1_block.bn.weight,network.head.c1_block.bn.gamma
head.c1_block.bn.bias,network.head.c1_block.bn.beta
head.c1_block.bn.running_mean,network.head.c1_block.bn.moving_mean
head.c1_block.bn.running_var,network.head.c1_block.bn.moving_variance
head.block.0.block.depthwise.weight,network.head.block.0.block.depthwise.weight
head.block.0.block.bn_depth.weight,network.head.block.0.block.bn_depth.gamma
head.block.0.block.bn_depth.bias,network.head.block.0.block.bn_depth.beta
head.block.0.block.bn_depth.running_mean,network.head.block.0.block.bn_depth.moving_mean
head.block.0.block.bn_depth.running_var,network.head.block.0.block.bn_depth.moving_variance
head.block.0.block.pointwise.weight,network.head.block.0.block.pointwise.weight
head.block.0.block.bn_point.weight,network.head.block.0.block.bn_point.gamma
head.block.0.block.bn_point.bias,network.head.block.0.block.bn_point.beta
head.block.0.block.bn_point.running_mean,network.head.block.0.block.bn_point.moving_mean
head.block.0.block.bn_point.running_var,network.head.block.0.block.bn_point.moving_variance
head.block.1.block.depthwise.weight,network.head.block.1.block.depthwise.weight
head.block.1.block.bn_depth.weight,network.head.block.1.block.bn_depth.gamma
head.block.1.block.bn_depth.bias,network.head.block.1.block.bn_depth.beta
head.block.1.block.bn_depth.running_mean,network.head.block.1.block.bn_depth.moving_mean
head.block.1.block.bn_depth.running_var,network.head.block.1.block.bn_depth.moving_variance
head.block.1.block.pointwise.weight,network.head.block.1.block.pointwise.weight
head.block.1.block.bn_point.weight,network.head.block.1.block.bn_point.gamma
head.block.1.block.bn_point.bias,network.head.block.1.block.bn_point.beta
head.block.1.block.bn_point.running_mean,network.head.block.1.block.bn_point.moving_mean
head.block.1.block.bn_point.running_var,network.head.block.1.block.bn_point.moving_variance
head.block.2.weight,network.head.block.2.weight
head.block.2.bias,network.head.block.2.bias
head2.aspp.aspp0.conv.weight,network.head2.aspp.aspp0.0.weight
head2.aspp.aspp0.bn.weight,network.head2.aspp.aspp0.1.gamma
head2.aspp.aspp0.bn.bias,network.head2.aspp.aspp0.1.beta
head2.aspp.aspp0.bn.running_mean,network.head2.aspp.aspp0.1.moving_mean
head2.aspp.aspp0.bn.running_var,network.head2.aspp.aspp0.1.moving_variance
head2.aspp.aspp1.block.depthwise.weight,network.head2.aspp.aspp1.block.depthwise.weight
head2.aspp.aspp1.block.bn_depth.weight,network.head2.aspp.aspp1.block.bn_depth.gamma
head2.aspp.aspp1.block.bn_depth.bias,network.head2.aspp.aspp1.block.bn_depth.beta
head2.aspp.aspp1.block.bn_depth.running_mean,network.head2.aspp.aspp1.block.bn_depth.moving_mean
head2.aspp.aspp1.block.bn_depth.running_var,network.head2.aspp.aspp1.block.bn_depth.moving_variance
head2.aspp.aspp1.block.pointwise.weight,network.head2.aspp.aspp1.block.pointwise.weight
head2.aspp.aspp1.block.bn_point.weight,network.head2.aspp.aspp1.block.bn_point.gamma
head2.aspp.aspp1.block.bn_point.bias,network.head2.aspp.aspp1.block.bn_point.beta
head2.aspp.aspp1.block.bn_point.running_mean,network.head2.aspp.aspp1.block.bn_point.moving_mean
head2.aspp.aspp1.block.bn_point.running_var,network.head2.aspp.aspp1.block.bn_point.moving_variance
head2.aspp.aspp2.block.depthwise.weight,network.head2.aspp.aspp2.block.depthwise.weight
head2.aspp.aspp2.block.bn_depth.weight,network.head2.aspp.aspp2.block.bn_depth.gamma
head2.aspp.aspp2.block.bn_depth.bias,network.head2.aspp.aspp2.block.bn_depth.beta
head2.aspp.aspp2.block.bn_depth.running_mean,network.head2.aspp.aspp2.block.bn_depth.moving_mean
head2.aspp.aspp2.block.bn_depth.running_var,network.head2.aspp.aspp2.block.bn_depth.moving_variance
head2.aspp.aspp2.block.pointwise.weight,network.head2.aspp.aspp2.block.pointwise.weight
head2.aspp.aspp2.block.bn_point.weight,network.head2.aspp.aspp2.block.bn_point.gamma
head2.aspp.aspp2.block.bn_point.bias,network.head2.aspp.aspp2.block.bn_point.beta
head2.aspp.aspp2.block.bn_point.running_mean,network.head2.aspp.aspp2.block.bn_point.moving_mean
head2.aspp.aspp2.block.bn_point.running_var,network.head2.aspp.aspp2.block.bn_point.moving_variance
head2.aspp.aspp3.block.depthwise.weight,network.head2.aspp.aspp3.block.depthwise.weight
head2.aspp.aspp3.block.bn_depth.weight,network.head2.aspp.aspp3.block.bn_depth.gamma
head2.aspp.aspp3.block.bn_depth.bias,network.head2.aspp.aspp3.block.bn_depth.beta
head2.aspp.aspp3.block.bn_depth.running_mean,network.head2.aspp.aspp3.block.bn_depth.moving_mean
head2.aspp.aspp3.block.bn_depth.running_var,network.head2.aspp.aspp3.block.bn_depth.moving_variance
head2.aspp.aspp3.block.pointwise.weight,network.head2.aspp.aspp3.block.pointwise.weight
head2.aspp.aspp3.block.bn_point.weight,network.head2.aspp.aspp3.block.bn_point.gamma
head2.aspp.aspp3.block.bn_point.bias,network.head2.aspp.aspp3.block.bn_point.beta
head2.aspp.aspp3.block.bn_point.running_mean,network.head2.aspp.aspp3.block.bn_point.moving_mean
head2.aspp.aspp3.block.bn_point.running_var,network.head2.aspp.aspp3.block.bn_point.moving_variance
head2.aspp.image_pooling.conv.weight,network.head2.aspp.image_pooling.0.weight
head2.aspp.image_pooling.bn.weight,network.head2.aspp.image_pooling.1.gamma
head2.aspp.image_pooling.bn.bias,network.head2.aspp.image_pooling.1.beta
head2.aspp.image_pooling.bn.running_mean,network.head2.aspp.image_pooling.1.moving_mean
head2.aspp.image_pooling.bn.running_var,network.head2.aspp.image_pooling.1.moving_variance
head2.aspp.conv.weight,network.head2.aspp.conv.weight
head2.aspp.bn.weight,network.head2.aspp.bn.gamma
head2.aspp.bn.bias,network.head2.aspp.bn.beta
head2.aspp.bn.running_mean,network.head2.aspp.bn.moving_mean
head2.aspp.bn.running_var,network.head2.aspp.bn.moving_variance
head2.c1_block.conv.weight,network.head2.c1_block.conv.weight
head2.c1_block.bn.weight,network.head2.c1_block.bn.gamma
head2.c1_block.bn.bias,network.head2.c1_block.bn.beta
head2.c1_block.bn.running_mean,network.head2.c1_block.bn.moving_mean
head2.c1_block.bn.running_var,network.head2.c1_block.bn.moving_variance
head2.block.0.block.depthwise.weight,network.head2.block.0.block.depthwise.weight
head2.block.0.block.bn_depth.weight,network.head2.block.0.block.bn_depth.gamma
head2.block.0.block.bn_depth.bias,network.head2.block.0.block.bn_depth.beta
head2.block.0.block.bn_depth.running_mean,network.head2.block.0.block.bn_depth.moving_mean
head2.block.0.block.bn_depth.running_var,network.head2.block.0.block.bn_depth.moving_variance
head2.block.0.block.pointwise.weight,network.head2.block.0.block.pointwise.weight
head2.block.0.block.bn_point.weight,network.head2.block.0.block.bn_point.gamma
head2.block.0.block.bn_point.bias,network.head2.block.0.block.bn_point.beta
head2.block.0.block.bn_point.running_mean,network.head2.block.0.block.bn_point.moving_mean
head2.block.0.block.bn_point.running_var,network.head2.block.0.block.bn_point.moving_variance
head2.block.1.block.depthwise.weight,network.head2.block.1.block.depthwise.weight
head2.block.1.block.bn_depth.weight,network.head2.block.1.block.bn_depth.gamma
head2.block.1.block.bn_depth.bias,network.head2.block.1.block.bn_depth.beta
head2.block.1.block.bn_depth.running_mean,network.head2.block.1.block.bn_depth.moving_mean
head2.block.1.block.bn_depth.running_var,network.head2.block.1.block.bn_depth.moving_variance
head2.block.1.block.pointwise.weight,network.head2.block.1.block.pointwise.weight
head2.block.1.block.bn_point.weight,network.head2.block.1.block.bn_point.gamma
head2.block.1.block.bn_point.bias,network.head2.block.1.block.bn_point.beta
head2.block.1.block.bn_point.running_mean,network.head2.block.1.block.bn_point.moving_mean
head2.block.1.block.bn_point.running_var,network.head2.block.1.block.bn_point.moving_variance
head2.block.2.weight,network.head2.block.2.weight
head2.block.2.bias,network.head2.block.2.bias
auxlayer.block.0.weight,network.auxlayer.block.0.weight
auxlayer.block.1.weight,network.auxlayer.block.1.gamma
auxlayer.block.1.bias,network.auxlayer.block.1.beta
auxlayer.block.1.running_mean,network.auxlayer.block.1.moving_mean
auxlayer.block.1.running_var,network.auxlayer.block.1.moving_variance
auxlayer.block.4.weight,network.auxlayer.block.4.weight
auxlayer.block.4.bias,network.auxlayer.block.4.bias
auxlayer2.block.0.weight,network.auxlayer2.block.0.weight
auxlayer2.block.1.weight,network.auxlayer2.block.1.gamma
auxlayer2.block.1.bias,network.auxlayer2.block.1.beta
auxlayer2.block.1.running_mean,network.auxlayer2.block.1.moving_mean
auxlayer2.block.1.running_var,network.auxlayer2.block.1.moving_variance
auxlayer2.block.4.weight,network.auxlayer2.block.4.weight
auxlayer2.block.4.bias,network.auxlayer2.block.4.bias